CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1683233062600,1683233063696,1683233067593,+30,Face1,Face3,False
1683233068099,1683233069810,1683233070835,-30,Face2,Face2,True
1683233071346,1683233072305,1683233074897,-30,Face1,Face1,True
1683233075397,1683233076236,1683233077259,+30,Face1,Face1,True
1683233077770,1683233078806,1683233079869,+30,Face3,Face3,True
1683233080381,1683233082024,1683233082791,0,Face1,Face1,True
1683233083300,1683233084685,1683233085649,0,Face2,Face2,True
1683233086150,1683233087008,1683233088032,0,Face3,Face3,True
1683233088541,1683233089632,1683233090480,+30,Face2,Face2,True
1683233090988,1683233092151,1683233093016,0,Face1,Face1,True
1683233093527,1683233095114,1683233095838,-30,Face1,Face1,True
1683233096352,1683233097610,1683233099026,+30,Face2,Face2,True
1683233099537,1683233100415,1683233102084,+30,Face2,Face2,True
1683233102588,1683233103407,1683233104443,0,Face3,Face3,True
1683233104959,1683233106082,1683233106811,-30,Face1,Face1,True
1683233107316,1683233108598,1683233109318,+30,Face2,Face2,True
1683233109819,1683233110563,1683233112039,+30,Face3,Face3,True
1683233112551,1683233113677,1683233115244,-30,Face2,Face2,True
1683233115751,1683233116953,1683233117896,-30,Face1,Face1,True
1683233118397,1683233119928,1683233120652,0,Face1,Face1,True
1683233121157,1683233122809,1683233123490,+30,Face2,Face2,True
1683233124002,1683233124836,1683233126103,-30,Face3,Face3,True
1683233126616,1683233127741,1683233128337,0,Face1,Face1,True
1683233128841,1683233130211,1683233130827,-30,Face2,Face2,True
1683233131341,1683233132800,1683233133505,-30,Face1,Face1,True
1683233134017,1683233135206,1683233135964,+30,Face1,Face1,True
1683233136479,1683233137368,1683233138051,-30,Face1,Face1,True
1683233138560,1683233139444,1683233140226,-30,Face2,Face2,True
1683233140742,1683233141960,1683233143230,+30,Face3,Face3,True
1683233143733,1683233144575,1683233145570,+30,Face3,Face3,True
1683233146080,1683233147100,1683233147757,0,Face1,Face1,True
1683233148269,1683233149214,1683233150696,+30,Face2,Face2,True
1683233151202,1683233152425,1683233153005,0,Face1,Face1,True
1683233153516,1683233154576,1683233155079,0,Face1,Face1,True
1683233155597,1683233156668,1683233157680,0,Face3,Face3,True
1683233158187,1683233159349,1683233160482,+30,Face1,Face1,True
1683233160983,1683233161739,1683233162857,-30,Face1,Face1,True
1683233163369,1683233164417,1683233165009,0,Face2,Face2,True
1683233165519,1683233166352,1683233167146,+30,Face3,Face3,True
1683233167648,1683233169076,1683233169715,-30,Face2,Face2,True
1683233170227,1683233171250,1683233171992,+30,Face3,Face3,True
1683233172496,1683233173601,1683233174446,0,Face3,Face3,True
1683233174956,1683233176329,1683233176996,+30,Face2,Face2,True
1683233177497,1683233179181,1683233179942,+30,Face2,Face2,True
1683233180448,1683233181872,1683233182681,-30,Face2,Face2,True
1683233183192,1683233184755,1683233185395,-30,Face2,Face2,True
1683233185915,1683233187575,1683233188453,-30,Face1,Face1,True
1683233188961,1683233190238,1683233190682,0,Face3,Face2,False
1683233191183,1683233192600,1683233193429,0,Face1,Face1,True
1683233193949,1683233195362,1683233196649,-30,Face3,Face3,True
1683233197152,1683233198673,1683233199586,0,Face2,Face2,True
1683233200100,1683233201320,1683233202244,-30,Face3,Face3,True
1683233202760,1683233204469,1683233205286,0,Face3,Face3,True
1683233205787,1683233207150,1683233208441,-30,Face3,Face3,True
1683233208947,1683233210460,1683233211236,-30,Face1,Face1,True
1683233211738,1683233212513,1683233213102,0,Face1,Face1,True
1683233213609,1683233214479,1683233215743,+30,Face3,Face3,True
1683233216258,1683233217303,1683233218261,0,Face3,Face1,False
1683233218765,1683233219535,1683233220270,-30,Face2,Face2,True
1683233220774,1683233222150,1683233224213,-30,Face1,Face1,True
1683233224725,1683233226102,1683233226784,-30,Face2,Face2,True
1683233227297,1683233228987,1683233229743,-30,Face2,Face2,True
1683233230250,1683233231739,1683233232551,0,Face1,Face1,True
1683233233057,1683233234532,1683233235468,0,Face3,Face3,True
1683233235979,1683233236746,1683233238396,-30,Face3,Face3,True
1683233238898,1683233240210,1683233240872,0,Face1,Face1,True
1683233241381,1683233243084,1683233244685,-30,Face1,Face1,True
1683233245201,1683233246837,1683233247661,+30,Face2,Face2,True
1683233248175,1683233249312,1683233250858,+30,Face3,Face3,True
1683233251368,1683233252195,1683233268241,+30,Face1,Face1,True
1683233268753,1683233270176,1683233271201,+30,Face1,Face1,True
1683233271722,1683233273191,1683233274741,0,Face1,Face1,True
1683233275274,1683233276755,1683233277695,-30,Face3,Face3,True
1683233278206,1683233279827,1683233280923,-30,Face3,Face3,True
1683233281433,1683233283144,1683233283832,0,Face2,Face2,True
1683233284335,1683233285205,1683233285892,+30,Face2,Face2,True
1683233286392,1683233287386,1683233288022,0,Face2,Face2,True
1683233288524,1683233289396,1683233290391,+30,Face3,Face3,True
1683233290929,1683233291716,1683233292524,-30,Face1,Face1,True
1683233293028,1683233294311,1683233295334,-30,Face2,Face2,True
1683233295846,1683233296674,1683233298433,+30,Face2,Face2,True
1683233298946,1683233300189,1683233301121,+30,Face3,Face3,True
1683233301652,1683233302930,1683233303873,0,Face2,Face2,True
1683233304387,1683233305551,1683233306359,+30,Face2,Face2,True
1683233306863,1683233307689,1683233308515,-30,Face3,Face3,True
1683233309021,1683233310641,1683233311179,0,Face2,Face2,True
1683233311689,1683233312814,1683233313506,-30,Face1,Face1,True
1683233314010,1683233315338,1683233315976,0,Face1,Face1,True
1683233316477,1683233317491,1683233318221,-30,Face3,Face3,True
1683233318724,1683233319723,1683233320396,+30,Face2,Face2,True
1683233320898,1683233322017,1683233322806,+30,Face1,Face1,True
1683233323330,1683233324306,1683233324960,0,Face1,Face1,True
1683233325463,1683233326862,1683233327468,-30,Face2,Face2,True
1683233327976,1683233329593,1683233330309,+30,Face2,Face2,True
1683233330842,1683233331660,1683233332513,+30,Face3,Face3,True
1683233333038,1683233333800,1683233334567,-30,Face2,Face2,True
1683233335081,1683233336440,1683233337161,0,Face2,Face2,True
1683233337683,1683233338656,1683233339463,0,Face3,Face3,True
1683233339978,1683233341130,1683233341795,0,Face1,Face1,True
1683233342314,1683233343799,1683233344817,+30,Face3,Face3,True
1683233345344,1683233346940,1683233349279,0,Face2,Face2,True
